	name	smarts
75	phenyl carbonate	c1ccccc1OC(=O)O
76	phosphor	P
77	phthalimide	[cR,CR]~C(=O)NC(=O)~[cR,CR]
78	Polycyclic aromatic hydrocarbon 1	a1aa2a3a(a1)A=AA=A3=AA=A2
79	Polycyclic aromatic hydrocarbon 2	a21aa3a(aa1aaaa2)aaaa3
80	Polycyclic aromatic hydrocarbon 3	a31a(a2a(aa1)aaaa2)aaaa3
81	polyene	[CR0]=[CR0][CR0]=[CR0]
82	quaternary nitrogen 1	[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]
83	quaternary nitrogen 2	[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]
84	quaternary nitrogen 3	[*]=[N+]=[*]
85	saponine derivative	O1CCCCC1OC2CCC3CCCCC3C2
86	silicon halogen	[Si][F,Cl,Br,I]
87	stilbene	c1ccccc1C=Cc2ccccc2
88	sulfinic acid	[SX3](=O)[O-,OH]
89	Sulfonic acid 2	[C,c]S(=O)(=O)O[C,c]
90	Sulfonic acid 3	S(=O)(=O)[O-,OH]
91	sulfonyl cyanide	S(=O)(=O)C#N
92	sulfur oxygen single bond	[SX2]O
93	sulphate	OS(=O)(=O)[O-]
94	sulphur nitrogen single bond	[SX2H0][N]
95	Thiobenzothiazole 1	c12ccccc1(SC(S)=N2)
96	Thiobenzothiazole 2	c12ccccc1(SC(=S)N2)
97	Thiocarbony1 group	[C,c]=S
98	thioester	SC=O
99	thiol 1	[S-]
100	thiol 2	[SH]
101	Three-membered heterocycle	*1[!O,S,N]*1
102	triflate	OS(=O)(=O)C(F)(F)F
103	triphenyl methylsilyl	[SiR0,CR0](c1ccccc1)(c2ccccc2)c3ccccc3
104	triple bond	C#C
